date,uah,usdt
2024-11-22,41.64,1.025
2024-11-23,41.65,1.024
2024-11-24,41.65,1.024
2024-11-25,41.7,1.025
2024-11-26,41.75,1.026
2024-11-27,41.95,1.026
2024-11-28,41.8,1.026
2024-11-29,41.8,1.025
2024-11-30,41.85,1.025
2024-12-01,41.85,1.025
2024-12-02,41.83,1.022
2024-12-03,41.85,1.021
2024-12-04,41.8,1.021
2024-12-05,41.65,1.02
2024-12-06,41.67,1.019
2024-12-07,41.75,1.017
2024-12-08,41.75,1.017
2024-12-09,41.88,1.016
2024-12-10,41.9,1.018
2024-12-11,41.84,1.02
2024-12-12,41.75,1.018
2024-12-13,41.93,1.019
2024-12-14,42,1.017
2024-12-15,42,1.018
2024-12-16,41.98,1.017
2024-12-17,41.98,1.017
2024-12-18,42.1,1.018
2024-12-19,42.05,1.02
2024-12-20,42.3,1.023
2024-12-21,42.4,1.023
2024-12-22,42.35,1.024
2024-12-23,42.38,1.023
2024-12-24,42.23,1.022
2024-12-25,42.17,1.02
2024-12-26,42.2,1.019
2024-12-27,42.3,1.018
2024-12-28,42.35,1.016
2024-12-29,42.45,1.012
2024-12-30,42.45,1.015
2024-12-31,42.42,1.02
2025-01-02,42.55,1.018
2025-01-03,42.7,1.017
2025-01-04,42.75,1.02
2025-01-05,42.7,1.016
2025-01-06,42.75,1.019
2025-01-07,42.77,1.022
2025-01-08,42.85,1.023
2025-01-09,43.1,1.025
2025-01-10,43.1,1.024
2025-01-11,43.07,1.023
2025-01-12,43,1.022
2025-01-13,43,1.025
2025-01-14,42.88,1.025
2025-01-15,42.8,1.025
2025-01-16,42.65,1.026
2025-01-17,42.6,1.026
2025-01-18,42.6,1.025
2025-01-19,42.65,1.028
2025-01-20,42.58,1.028
2025-01-21,42.5,1.027
2025-01-22,42.38,1.025
2025-01-23,42.25,1.027
2025-01-24,42.25,1.027
2025-01-25,42.2,1.026
2025-01-26,42.2,1.027
2025-01-27,42.28,1.026
2025-01-28,42.18,1.024
2025-01-29,42.1,1.023
2025-01-30,42,1.022
2025-01-31,41.9,1.022
2025-02-01,41.9,1.021
2025-02-02,41.88,1.027
2025-02-03,41.83,1.026
2025-02-04,41.77,1.026
2025-02-05,41.7,1.023
2025-02-06,41.53,1.023
2025-02-07,41.6,1.022
2025-02-08,41.7,1.021
2025-02-09,41.65,1.019
2025-02-10,41.75,1.018
2025-02-11,41.8,1.02
2025-02-12,41.83,1.019
2025-02-13,41.75,1.02
2025-02-14,41.7,1.019
2025-02-15,41.7,1.02
2025-02-16,41.75,1.02
2025-02-17,41.62,1.018
2025-02-18,41.75,1.02
2025-02-19,41.9,1.022
2025-02-20,41.73,1.021
2025-02-21,41.8,1.021
2025-02-22,41.85,1.021
2025-02-23,41.83,1.021
2025-02-24,41.8,1.024
2025-02-25,41.75,1.023
2025-02-26,41.67,1.023
2025-02-27,41.58,1.023
2025-02-28,42.4,1.023
2025-03-01,42,1.022
2025-03-02,41.9,1.021
2025-03-03,41.68,1.021
2025-03-04,41.53,1.021
2025-03-05,41.45,1.022
2025-03-06,41.35,1.021
2025-03-07,41.33,1.02
2025-03-08,41.28,1.02
2025-03-09,41.28,1.021
2025-03-10,41.37,1.021
2025-03-11,41.55,1.022
2025-03-12,41.65,1.023
2025-03-13,41.55,1.022
2025-03-14,41.48,1.021
2025-03-15,41.48,1.022
2025-03-16,41.48,1.022
2025-03-17,41.6,1.022
2025-03-18,41.65,1.021
2025-03-19,41.6,1.021
2025-03-20,41.55,1.02
2025-03-21,41.55,1.02
2025-03-22,41.55,1.02
2025-03-23,41.55,1.02
2025-03-24,41.65,1.019
2025-03-25,41.63,1.019
2025-03-26,41.55,1.019
2025-03-27,41.48,1.019
2025-03-28,41.5,1.02
2025-03-29,41.5,1.02
2025-03-30,41.47,1.02
2025-03-31,41.4,1.019
2025-04-01,41.27,1.018
2025-04-02,41.3,1.018
2025-04-03,41.15,1.017
2025-04-04,41.03,1.017
2025-04-05,41.02,1.016
2025-04-06,40.97,1.018
2025-04-07,40.9,1.018
2025-04-08,41.05,1.018
2025-04-09,41.25,1.019
2025-04-10,41.25,1.019
2025-04-11,41.05,1.019
2025-04-12,41.05,1.018
2025-04-13,41.05,1.018
2025-04-14,40.98,1.018
2025-04-15,41,1.018
2025-04-16,41.05,1.018
2025-04-17,41.17,1.02
2025-04-18,41.05,1.02
2025-04-19,41.05,1.019
2025-04-21,41.12,1.019
2025-04-22,41.37,1.02
2025-04-23,41.65,1.021
2025-04-24,41.5,1.023
2025-04-25,41.55,1.022
2025-04-26,41.55,1.021
2025-04-27,41.55,1.021
2025-04-28,41.5,1.02
2025-04-29,41.47,1.02
2025-04-30,41.55,1.02
2025-05-01,41.55,1.019
2025-05-02,41.5,1.018
2025-05-03,41.5,1.018
2025-05-04,41.5,1.019
2025-05-05,41.35,1.017
2025-05-06,41.4,1.018
2025-05-07,41.45,1.019
2025-05-08,41.5,1.019
2025-05-09,41.48,1.018
2025-05-10,41.5,1.017
2025-05-11,41.48,1.017
2025-05-12,41.45,1.017
2025-05-13,41.47,1.018
2025-05-14,41.47,1.019
2025-05-15,41.45,1.019
2025-05-16,41.5,1.017
2025-05-17,41.5,1.018
2025-05-18,41.5,1.018
2025-05-19,41.45,1.018
2025-05-20,41.43,1.018
2025-05-21,41.47,1.018
2025-05-22,41.47,1.018
2025-05-23,41.45,1.018
2025-05-24,41.47,1.018
2025-05-25,41.47,1.019
2025-05-26,41.5,1.019
2025-05-27,41.47,1.019
2025-05-28,41.47,1.019
2025-05-29,41.45,1.021
2025-05-30,41.45,1.02
2025-05-31,41.45,1.019
2025-06-01,41.45,1.019
2025-06-02,41.45,1.018
2025-06-03,41.44,1.018
2025-06-04,41.5,1.018
2025-06-05,41.4,1.019
2025-06-06,41.4,1.017
2025-06-07,41.42,1.017
2025-06-08,41.42,1.017
2025-06-09,41.45,1.016
2025-06-10,41.45,1.017
2025-06-11,41.45,1.017
2025-06-12,41.45,1.02
2025-06-13,41.48,1.019
2025-06-14,41.48,1.019
2025-06-15,41.48,1.019
2025-06-16,41.48,1.019
2025-06-17,41.45,1.02
2025-06-18,41.55,1.02
2025-06-19,41.67,1.024
2025-06-20,41.82,1.022
2025-06-21,41.8,1.021
2025-06-22,41.8,1.023
2025-06-23,41.83,1.023
2025-06-24,41.75,1.024
2025-06-25,41.65,1.028
2025-06-26,41.6,1.028
2025-06-27,41.69,1.026
2025-06-28,41.7,1.024
2025-06-29,41.7,1.024
2025-06-30,41.65,1.023
2025-07-01,41.72,1.022
2025-07-02,41.7,1.022
2025-07-03,41.73,1.021
2025-07-04,41.7,1.021
2025-07-05,41.68,1.02
2025-07-06,41.68,1.02
2025-07-07,41.69,1.02
2025-07-08,41.65,1.02
2025-07-09,41.67,1.019
2025-07-10,41.65,1.02
2025-07-11,41.68,1.02
2025-07-12,41.7,1.02
2025-07-13,41.72,1.02
2025-07-14,41.77,1.019
2025-07-15,41.73,1.018
2025-07-16,41.79,1.019
2025-07-17,41.78,1.02
2025-07-18,41.75,1.019
2025-07-19,41.75,1.02
2025-07-20,41.75,1.02
2025-07-21,41.72,1.018
2025-07-22,41.72,1.018
2025-07-23,41.75,1.019
2025-07-24,41.7,1.02
2025-07-25,41.72,1.02
2025-07-26,41.72,1.02
2025-07-27,41.72,1.02
2025-07-28,41.72,1.02
2025-07-29,41.72,1.021
2025-07-30,41.73,1.021
2025-07-31,41.7,1.021
2025-08-01,41.72,1.019
2025-08-02,41.67,1.021
2025-08-03,41.67,1.02
2025-08-04,41.65,1.018
2025-08-05,41.55,1.017
2025-08-06,41.55,1.017
2025-08-07,41.5,1.017
2025-08-08,41.5,1.016
2025-08-09,41.5,1.016
2025-08-10,41.5,1.015
2025-08-11,41.47,1.014
2025-08-12,41.47,1.014
2025-08-13,41.48,1.014
2025-08-14,41.45,1.015
2025-08-15,41.43,1.015
2025-08-16,41.43,1.014
2025-08-17,41.43,1.015
2025-08-18,41.47,1.015
2025-08-19,41.45,1.016
2025-08-20,41.43,1.019
2025-08-21,41.37,1.019
2025-08-22,41.4,1.021
2025-08-23,41.4,1.02
2025-08-25,41.4,1.02
2025-08-26,41.4,1.021
2025-08-27,41.4,1.021
2025-08-28,41.38,1.021
2025-08-29,41.37,1.019
2025-08-30,41.37,1.019
2025-08-31,41.37,1.019
2025-09-01,41.37,1.017
2025-09-02,41.33,1.017
2025-09-03,41.34,1.018
2025-09-04,41.32,1.018
2025-09-05,41.3,1.019
2025-09-06,41.3,1.019
2025-09-07,41.3,1.019
2025-09-08,41.25,1.018
2025-09-09,41.25,1.018
2025-09-10,41.29,1.018
2025-09-11,41.32,1.018
2025-09-12,41.3,1.018
2025-09-13,41.3,1.018
2025-09-14,41.3,1.018
2025-09-15,41.28,1.016
2025-09-16,41.27,1.017
2025-09-17,41.27,1.019
2025-09-18,41.23,1.019
2025-09-19,41.3,1.02
2025-09-20,41.3,1.02
2025-09-21,41.3,1.019
2025-09-22,41.28,1.019
2025-09-23,41.28,1.02
2025-09-24,41.37,1.021
2025-09-25,41.45,1.022
2025-09-26,41.45,1.022
2025-09-27,41.45,1.022
2025-09-28,41.45,1.022
2025-09-29,41.37,1.022
2025-09-30,41.3,1.022
2025-10-01,41.28,1.02
2025-10-02,41.22,1.018
2025-10-03,41.24,1.018
2025-10-04,41.28,1.018
2025-10-05,41.28,1.018
2025-10-06,41.25,1.018
2025-10-07,41.3,1.019
2025-10-08,41.45,1.019
2025-10-09,41.43,1.019
2025-10-10,41.58,1.025
2025-10-11,41.55,1.027
2025-10-12,41.55,1.025
2025-10-13,41.6,1.021
2025-10-14,41.83,1.022
2025-10-15,41.7,1.023
2025-10-16,41.75,1.024
2025-10-17,41.75,1.024
2025-10-18,41.78,1.024
2025-10-19,41.78,1.022
2025-10-20,41.82,1.022
2025-10-21,41.9,1.025
2025-10-22,42.05,1.026
2025-10-23,42.1,1.025
2025-10-24,42.25,1.025
2025-10-25,42.2,1.024
2025-10-26,42.18,1.024
2025-10-27,42.22,1.025
2025-10-28,42.1,1.026
2025-10-29,42.13,1.03
2025-10-30,42,1.027
2025-10-31,42,1.026
2025-11-01,42,1.024
2025-11-02,42,1.024
2025-11-03,42.07,1.021
2025-11-04,42.1,1.025
2025-11-05,42.05,1.025
2025-11-06,42.05,1.025
2025-11-07,42,1.025
2025-11-08,42.05,1.024
2025-11-09,42.07,1.024
2025-11-10,42.07,1.023
2025-11-11,42.1,1.022
2025-11-12,42.12,1.022
2025-11-13,42.08,1.023
2025-11-14,42.1,1.023
2025-11-15,42.12,1.023
2025-11-16,42.14,1.024
2025-11-17,42.16,1.024
2025-11-18,42.16,1.026
2025-11-19,42.18,1.026
2025-11-20,42.25,1.026
2025-11-21,42.4,1.028
2025-11-22,42.45,1.027
2025-11-23,42.45,1.028
2025-11-24,42.6,1.025
2025-11-25,42.47,1.026
2025-11-26,42.42,1.026
2025-11-27,42.37,1.026
2025-11-28,42.35,1.025
2025-11-29,42.37,1.022
2025-11-30,42.37,1.023
2025-12-01,42.34,1.021
2025-12-02,42.33,1.021
2025-12-03,42.28,1.021
2025-12-04,42.28,1.021
2025-12-05,42.22,1.018
2025-12-06,42.25,1.018
2025-12-07,42.25,1.017
2025-12-08,42.32,1.017
2025-12-09,42.33,1.017
2025-12-10,42.45,1.016
2025-12-11,42.37,1.016
2025-12-12,42.35,1.016
2025-12-13,42.35,1.016
2025-12-14,42.35,1.016
2025-12-15,42.32,1.016
2025-12-16,42.35,1.017
2025-12-17,42.37,1.018
2025-12-18,42.33,1.018
2025-12-19,42.28,1.018
2025-12-20,42.28,1.018
2025-12-21,42.3,1.018
2025-12-22,42.23,1.015
2025-12-23,42.15,1.015
2025-12-24,42.15,1.015
2025-12-26,42.18,1.014
2025-12-27,42.25,1.013
2025-12-28,42.25,1.013
2025-12-29,42.35,1.012
2025-12-30,42.3,1.012
2025-12-31,42.35,1.015
2026-01-02,42.38,1.015
2026-01-03,42.45,1.015
2026-01-04,42.45,1.015
2026-01-05,42.5,1.015
2026-01-06,42.85,1.016
2026-01-07,43.2,1.018
2026-01-08,43.35,1.017
2026-01-09,43.45,1.016
2026-01-10,43.45,1.016
2026-01-11,43.4,1.016
2026-01-12,43.47,1.015
2026-01-13,43.3,1.014
2026-01-14,43.45,1.013
2026-01-15,43.55,1.015
2026-01-16,43.45,1.015
2026-01-17,43.55,1.015
2026-01-18,43.55,1.014
2026-01-19,43.48,1.014
2026-01-20,43.5,1.014
2026-01-21,43.38,1.015
2026-01-22,43.38,1.016
2026-01-23,43.37,1.017
2026-01-24,43.38,1.016
2026-01-25,43.37,1.016
2026-01-26,43.25,1.016
2026-01-27,43.17,1.016
2026-01-28,43.05,1.016
2026-01-29,43.05,1.016
2026-01-30,43.13,1.017
2026-01-31,43.13,1.017
2026-02-01,43.13,1.017
2026-02-02,43.15,1.017
2026-02-03,43.25,1.017
2026-02-04,43.15,1.017
2026-02-05,43.1,1.02
2026-02-06,43.05,1.022
2026-02-07,43.1,1.022
2026-02-08,43.1,1.022
2026-02-09,43.2,1.02
2026-02-10,43.15,1.019
2026-02-11,43.12,1.016
2026-02-12,43.12,1.015
2026-02-13,43.13,1.016
2026-02-14,43.15,1.016
2026-02-15,43.17,1.015
2026-02-16,43.2,1.012
2026-02-17,43.25,1.014
2026-02-18,43.27,1.022
2026-02-19,43.23,1.02
2026-02-20,43.27,1.018
2026-02-21,43.3,1.016
2026-02-22,43.3,1.016
2026-02-23,43.3,1.016
2026-02-24,43.23,1.017
2026-02-25,43.22,1.02
2026-02-26,43.18,1.019
2026-02-27,43.15,1.016
2026-02-28,43.23,1.016
2026-03-01,43.2,1.016
2026-03-02,43.27,1.013
2026-03-03,43.5,1.014
2026-03-04,43.95,1.013
2026-03-05,43.8,1.013
2026-03-06,43.9,1.01
2026-03-07,44.1,1.007
2026-03-08,44.1,1.01
2026-03-09,44.1,1.006
2026-03-10,44.1,1.008
2026-03-11,44.3,1.008
2026-03-12,44.4,1.009
2026-03-13,44.4,1.01
2026-03-14,44.45,1.009
2026-03-15,44.45,1.01
2026-03-16,44.37,1.01
2026-03-17,44.25,1.014
2026-03-18,44.27,1.016
2026-03-19,44.15,1.02
2026-03-20,44.05,1.019
2026-03-21,44.05,1.019
2026-03-22,44.05,1.019
2026-03-23,44.15,1.019
2026-03-24,44.03,1.019
2026-03-25,44.07,1.02
2026-03-26,43.98,1.02
2026-03-27,44,1.02
2026-03-28,44,1.02
2026-03-29,43.9,1.022
2026-03-30,43.88,1.02
2026-03-31,43.78,1.02
2026-04-01,43.77,1.017
2026-04-02,43.7,1.015
2026-04-03,43.7,1.013
2026-04-04,43.7,1.014
2026-04-05,43.7,1.014
2026-04-06,43.57,1.013
2026-04-07,43.65,1.013
2026-04-08,43.55,1.013
2026-04-09,43.53,1.012
2026-04-10,43.55,1.012
2026-04-11,43.8,1.01
2026-04-13,43.6,1.01
2026-04-14,43.6,1.009
2026-04-15,43.65,1.01
2026-04-16,43.85,1.013
2026-04-17,44.25,1.012
2026-04-18,44.05,1.01
2026-04-19,44,1.01
2026-04-20,44.04,1.011
2026-04-21,43.85,1.014
2026-04-22,43.83,1.015
2026-04-23,43.88,1.013
2026-04-24,43.9,1.011
2026-04-25,43.9,1.012
2026-04-26,43.9,1.011
2026-04-27,43.92,1.013
2026-04-28,43.95,1.014
2026-04-29,43.9,1.015
2026-04-30,43.8,1.014
2026-05-01,43.85,1.01
2026-05-02,43.9,1.01
2026-05-03,43.9,1.01
2026-05-04,43.87,1.009
2026-05-05,43.85,1.01
2026-05-06,43.77,1.012
2026-05-07,43.77,1.011
2026-05-08,43.8,1.007
2026-05-09,43.8,1.008
2026-05-10,43.85,1.008
2026-05-11,43.85,1.006
2026-05-12,43.85,1.009
2026-05-13,43.9,1.009
2026-05-14,43.87,1.009
2026-05-15,43.98,1.01
2026-05-16,43.98,1.009
2026-05-17,43.98,1.01
2026-05-18,44,1.01
2026-05-19,43.95,1.009
2026-05-20,44.08,1.011
2026-05-21,44.08,1.01
2026-05-22,44.12,1.01
2026-05-23,44.1,1.01
2026-05-24,44.1,1.01
2026-05-25,44.15,1.01
2026-05-26,44.2,1.012
2026-05-27,44.25,1.013
2026-05-28,44.25,1.013
2026-05-29,44.22,1.013
2026-05-30,44.18,1.012
2026-05-31,44.22,1.013
2026-06-01,44.18,1.009
2026-06-02,44.18,1.01
2026-06-03,44.23,1.012
2026-06-04,44.25,1.012
2026-06-05,44.25,1.013
2026-06-06,44.27,1.011
2026-06-07,44.27,1.012
2026-06-08,44.55,1.011
2026-06-09,44.85,1.011
2026-06-10,44.95,1.009
2026-06-11,44.88,1.008
2026-06-12,44.8,1.008
2026-06-13,44.83,1.009
2026-06-14,44.83,1.009
2026-06-15,44.85,1.008
2026-06-16,44.88,1.01
2026-06-17,44.92,1.01
2026-06-18,45,1.012
2026-06-19,44.98,1.01
2026-06-20,44.98,1.011
2026-06-21,45,1.011
2026-06-22,45,1.011
2026-06-23,44.92,1.012
2026-06-24,44.92,1.014
2026-06-25,44.98,1.015
2026-06-26,44.9,1.014
2026-06-27,44.9,1.014
2026-06-28,44.9,1.014
2026-06-29,44.85,1.014
2026-06-30,44.7,1.015
2026-07-01,44.75,1.012
2026-07-02,44.7,1.013
2026-07-03,44.6,1.013
2026-07-04,44.6,1.011
2026-07-05,44.6,1.01
2026-07-06,44.6,1.01
2026-07-07,44.55,1.009
2026-07-08,44.55,1.008
2026-07-09,44.58,1.008
2026-07-10,44.6,1.007
2026-07-11,44.6,1.006
2026-07-12,44.6,1.007
2026-07-13,44.8,1.005
2026-07-14,44.9,1.007
2026-07-15,44.75,1.006
2026-07-16,44.68,1.007
2026-07-17,44.68,1.007
2026-07-18,44.72,1.009
2026-07-19,44.72,1.009
2026-07-20,44.72,1.008
2026-07-21,44.72,1.009
2026-07-22,44.74,1.009
2026-07-23,44.8,1.01
2026-07-24,44.85,1.01
2026-07-25,44.85,1.009
2026-07-26,44.85,1.009
2026-07-27,44.85,1.009
2026-07-28,44.9,1.009
2026-07-29,44.92,1.015
2026-07-30,44.95,1.015
2026-07-31,44.85,1.012
2026-08-01,44.85,1.012
2026-08-02,44.83,1.011
2026-08-03,44.8,1.01
2026-08-04,44.78,1.01
2026-08-05,44.72,1.01
2026-08-06,44.72,1.011
2026-08-07,44.73,1.01
2026-08-08,44.8,1.011
2026-08-09,44.83,1.01
2026-08-10,44.85,1.009
2026-08-11,44.95,1.009
2026-08-12,44.93,1.01
2026-08-13,44.9,1.01
2026-08-14,44.9,1.011
2026-08-15,44.9,1.012
2026-08-16,44.9,1.012
2026-08-17,44.88,1.011
2026-08-18,44.9,1.012
2026-08-19,44.84,1.014
2026-08-20,44.85,1.017
